fe12,4692048.444,7507482.713,669.854,
fe12mm,4692048.437,7507482.715,669.863,
Auto0000,4692938.577,7507051.791,713.432,PDFndarj 10994
Auto0001,4692954.140,7507058.625,712.042,PDFndarj 11022
Auto0002,4692950.029,7507074.964,710.888,PDFndarj 11021
Auto0003,4692945.695,7507092.102,709.107,PDFndarj 10995
Auto0004,4692970.611,7507100.628,706.246,PDFndarj 11023
Auto0005,4692967.842,7507103.043,705.947,ParcelaB 10496
Auto0006,4692958.526,7507106.067,706.476,ParcelaB 10500
Auto0007,4692978.298,7507069.154,709.028,PDFndarj 11050
101,4692979.257,7507065.224,1.000,PDFndarj 11050
Auto0008,4692979.247,7507065.216,709.220,101
Auto0009,4693000.432,7507074.453,706.636,ParcelaB 10492
Auto0010,4692997.107,7507077.407,706.599,PDFndarj 10967
Auto0011,4692975.283,7507081.515,707.994,PDFndarj 11049
Auto0012,4692945.699,7507092.083,709.115,PDFndarj 10995
Auto0013,4692954.147,7507058.634,712.045,PDFndarj 11022
Auto0014,4692911.257,7507128.767,706.640,ParcKojs 10078
Auto0015,4692961.049,7507126.224,704.665,ParcKojs 9950
Auto0016,4690533.468,7499002.604,1190.189,Ndarjet 10448
Auto0017,4690564.124,7498987.038,1191.887,Ndarjet 10423
